,X,Y,P
1,4.48,1.43,0
2,7.51,0.89,0
3,10.36,0.89,0
4,14.68,0.24,0
5,16.63,0.24,0
6,11.34,4.89,0
7,13.17,2.89,0
8,15.9,2.48,0
9,17.31,2.48,0
10,19.82,2.75,0
11,21.68,5.36,0
12,7.95,6.33,0
13,9.31,7.74,0
14,11.58,7.55,0
15,14.68,8.01,0
16,22.82,8.7,0
17,3.4,10.38,0
18,6.71,9.36,0
19,9.97,10.43,0
20,12.22,10.32,0
21,14.62,10.43,0
22,0.47,14.28,0
23,3.4,13.66,0
24,15.21,13.37,0
25,9.52,17.35,0
26,9.79,20.07,0
27,12.4,17.83,0
28,14.94,18.2,0
29,18.84,20.56,0
30,21.67,17.91,0
31,16.84,26.19,0
32,21.88,25.26,0
33,16.01,29.16,0
,,,
