,X,Y,P
1,4.48,1.43,500
2,7.51,0.89,360
3,10.36,0.89,360
4,14.68,0.24,4320
5,16.63,0.24,4320
6,11.34,4.89,3600
7,13.17,2.89,5040
8,15.9,2.48,2160
9,17.31,2.48,2160
10,19.82,2.75,1500
11,21.68,5.36,1500
12,7.95,6.33,2700
13,9.31,7.74,2000
14,11.58,7.55,1800
15,14.68,8.01,2760
16,22.82,8.7,400
17,3.4,10.38,400
18,6.71,9.36,2440
19,9.97,10.43,2440
20,12.22,10.32,1440
21,14.62,10.43,3160
22,0.47,14.28,200
23,3.4,13.66,200
24,15.21,13.37,4240
25,9.52,17.35,300
26,9.79,20.07,300
27,12.4,17.83,360
28,14.94,18.2,300
29,18.84,20.56,360
30,21.67,17.91,300
31,16.84,26.19,600
32,21.88,25.26,600
33,16.01,29.16,300
